# Poppy capsule features of different species
# Data author: Dr. Daniela Lud (DL@hsrw.eu)
# Affiliation: Rhine-Waal University of Applied Sciences (https://hsrw.eu/) 
# License: CC BY-NC-ND 4.0, https://creativecommons.org/licenses/by-nc-nd/4.0/
set,species no.,species name,specimen no.,capsule length [mm],capsule width [mm],ratio length to width,mean value of ratio,standard deviation,stalk thickness [mm],cap diameter [mm],stalk hair present (Y/N),stalk hair appressed (Y/N)
A,4,Papaver rhoeas,19,13.73,8.93,1.53751,1.54446,0.21053,1.68,10.24,Y,N
A,4,Papaver rhoeas,20,13.04,8.80,1.48182,1.54446,0.21053,1.64,8.18,Y,N
A,4,Papaver rhoeas,21,12.06,9.57,1.26019,1.54446,0.21053,1.39,8.35,Y,N
A,4,Papaver rhoeas,22,12.20,7.94,1.53652,1.54446,0.21053,1.49,8.77,Y,N
A,4,Papaver rhoeas,23,11.08,7.40,1.49730,1.54446,0.21053,1.74,8.29,Y,N
A,4,Papaver rhoeas,24,13.31,9.65,1.37927,1.54446,0.21053,1.76,10.1,Y,N
A,4,Papaver rhoeas,25,12.54,7.77,1.61390,1.54446,0.21053,1.99,9.95,Y,N
A,4,Papaver rhoeas,26,12.65,8.78,1.44077,1.54446,0.21053,1.74,8.61,Y,N
A,4,Papaver rhoeas,27,9.90,7.88,1.25635,1.54446,0.21053,1.2,9.16,Y,N
A,4,Papaver rhoeas,28,11.56,6.27,1.84370,1.54446,0.21053,1.19,6.61,Y,N
A,4,Papaver rhoeas,29,12.29,6.45,1.90543,1.54446,0.21053,1.51,7.33,Y,N
A,4,Papaver rhoeas,30,10.31,5.67,1.81834,1.54446,0.21053,0.8,6.32,Y,N
B,1,Papaver somniferum,31,21.77,17.61,1.23623,1.32154,0.06781,1.99,14.91,N,N
B,1,Papaver somniferum,32,18.40,13.62,1.35095,1.32154,0.06781,2.05,13.47,N,N
B,1,Papaver somniferum,33,23.19,17.78,1.30427,1.32154,0.06781,2.88,15.54,N,N
B,1,Papaver somniferum,34,23.18,16.62,1.39471,1.32154,0.06781,2.63,14.4,N,N
B,2,Papaver orientale,35,28.03,21.73,1.28992,1.27326,0.06029,5.81,25.1,Y,Y
B,2,Papaver orientale,36,20.33,16.11,1.26195,1.27326,0.06029,4.89,18.8,Y,Y
B,2,Papaver orientale,37,22.37,18.67,1.19818,1.27326,0.06029,5.18,22.17,Y,Y
B,2,Papaver orientale,38,21.34,15.89,1.34298,1.27326,0.06029,4.3,20.29,Y,Y
B,3,Papaver dubium,39,23.39,8.00,2.92375,2.87687,0.22400,1.38,6.89,Y,Y
B,3,Papaver dubium,40,21.10,8.09,2.60816,2.87687,0.22400,1.63,7.61,Y,Y
B,3,Papaver dubium,41,23.68,8.22,2.88078,2.87687,0.22400,1.75,7.13,Y,Y
B,3,Papaver dubium,42,20.26,7.96,2.54523,2.87687,0.22400,1.67,7.09,Y,Y
B,3,Papaver dubium,43,24.61,7.51,3.27696,2.87687,0.22400,1.52,7.13,Y,Y
B,3,Papaver dubium,44,25.98,8.24,3.15291,2.87687,0.22400,1.76,7.45,Y,Y
B,3,Papaver dubium,45,20.54,6.81,3.01615,2.87687,0.22400,1.33,6.83,Y,Y
B,3,Papaver dubium,46,22.85,8.36,2.73325,2.87687,0.22400,1.55,7.23,Y,Y
B,3,Papaver dubium,47,17.65,6.56,2.69055,2.87687,0.22400,1.22,6.9,Y,Y
B,3,Papaver dubium,48,24.56,8.58,2.86247,2.87687,0.22400,1.48,7.65,Y,Y
B,3,Papaver dubium,49,21.16,7.16,2.95531,2.87687,0.22400,1.37,6.59,Y,Y
B,4,Papaver rhoeas,50,13.66,9.72,1.40535,1.53082,0.36471,2.01,9.26,Y,N
B,4,Papaver rhoeas,51,13.65,11.00,1.24091,1.53082,0.36471,2.04,8.99,Y,N
B,4,Papaver rhoeas,52,12.66,8.68,1.45853,1.53082,0.36471,1.61,8.2,Y,N
B,4,Papaver rhoeas,53,13.83,9.88,1.39980,1.53082,0.36471,1.69,11.09,Y,N
B,4,Papaver rhoeas,54,14.24,10.37,1.37319,1.53082,0.36471,1.85,8.85,Y,N
B,4,Papaver rhoeas,55,9.66,5.77,1.67418,1.53082,0.36471,1.32,6.61,Y,N
B,4,Papaver rhoeas,56,13.11,14.01,0.93576,1.53082,0.36471,1.82,9.25,Y,N
B,4,Papaver rhoeas,57,17.46,7.88,2.21574,1.53082,0.36471,2.03,8.98,Y,N
B,4,Papaver rhoeas,58,10.77,7.49,1.43792,1.53082,0.36471,1.56,7.88,Y,N
B,4,Papaver rhoeas,59,11.79,7.39,1.59540,1.53082,0.36471,1.23,7.5,Y,N
B,4,Papaver rhoeas,60,13.16,6.26,2.10224,1.53082,0.36471,1.33,7.48,Y,N
C,1,Papaver somniferum,61,20.87,18.61,1.12144,1.15068,0.05183,2.1,13.09,N,N
C,1,Papaver somniferum,62,18.28,14.86,1.23015,1.15068,0.05183,2.01,12.67,N,N
C,1,Papaver somniferum,63,22.65,20.00,1.13250,1.15068,0.05183,2.88,16.81,N,N
C,1,Papaver somniferum,64,21.91,19.96,1.09770,1.15068,0.05183,2.83,15.5,N,N
C,1,Papaver somniferum,65,20.55,17.54,1.17161,1.15068,0.05183,2.73,17.33,N,N
C,2,Papaver orientale,66,19.70,15.11,1.30377,1.24730,0.14816,4.37,18.69,Y,Y
C,2,Papaver orientale,67,22.59,16.42,1.37576,1.24730,0.14816,4.96,8.44,Y,Y
C,2,Papaver orientale,68,22.36,16.13,1.38624,1.24730,0.14816,4.15,19.34,Y,Y
C,2,Papaver orientale,69,20.95,17.14,1.22229,1.24730,0.14816,4.78,20.66,Y,Y
C,2,Papaver orientale,70,21.54,19.90,1.08241,1.24730,0.14816,4.46,20.25,Y,Y
C,2,Papaver orientale,71,20.13,19.87,1.01309,1.24730,0.14816,4.95,20.84,Y,Y
C,2,Papaver orientale,72,23.11,17.15,1.34752,1.24730,0.14816,5.29,20.65,Y,Y
C,3,Papaver dubium,73,23.74,7.98,2.97494,2.64235,0.67304,1.56,7.86,Y,Y
C,3,Papaver dubium,74,18.18,6.66,2.72973,2.64235,0.67304,1.25,6.97,Y,Y
C,3,Papaver dubium,75,24.46,19.61,1.24732,2.64235,0.67304,1.85,8.73,Y,Y
C,3,Papaver dubium,76,20.53,8.52,2.40962,2.64235,0.67304,1.64,7.58,Y,Y
C,3,Papaver dubium,77,26.37,7.96,3.31281,2.64235,0.67304,1.69,7.08,Y,Y
C,3,Papaver dubium,78,24.61,8.61,2.85830,2.64235,0.67304,1.73,7.99,Y,Y
C,3,Papaver dubium,79,26.94,9.09,2.96370,2.64235,0.67304,1.91,8.68,Y,Y
C,4,Papaver rhoeas,80,13.50,8.06,1.67494,1.53230,0.25800,1.62,7.24,Y,N
C,4,Papaver rhoeas,81,11.85,7.89,1.50190,1.53230,0.25800,1.47,10.59,Y,N
C,4,Papaver rhoeas,82,12.02,9.19,1.30794,1.53230,0.25800,1.52,9.66,Y,N
C,4,Papaver rhoeas,83,12.54,6.93,1.80952,1.53230,0.25800,1.49,8.51,Y,N
C,4,Papaver rhoeas,84,14.72,9.08,1.62115,1.53230,0.25800,1.66,10.01,Y,N
C,4,Papaver rhoeas,85,15.64,8.98,1.74165,1.53230,0.25800,1.84,9.57,Y,N
C,4,Papaver rhoeas,86,12.54,11.30,1.10973,1.53230,0.25800,2.25,9.75,Y,N
C,4,Papaver rhoeas,87,13.89,10.27,1.35248,1.53230,0.25800,1.78,11.52,Y,N
C,4,Papaver rhoeas,88,13.41,9.35,1.43422,1.53230,0.25800,1.45,10.14,Y,N
C,4,Papaver rhoeas,89,16.93,8.55,1.98012,1.53230,0.25800,2.22,9.23,Y,N
C,4,Papaver rhoeas,90,12.41,9.39,1.32162,1.53230,0.25800,1.72,9.92,Y,N
D,1,Papaver somniferum,91,17.77,13.98,1.27110,1.12307,0.17406,2.23,13.9,N,N
D,1,Papaver somniferum,92,14.78,15.87,0.93132,1.12307,0.17406,1.48,13.86,N,N
D,1,Papaver somniferum,93,15.74,13.49,1.16679,1.12307,0.17406,2.28,12.65,N,N
D,2,Papaver orientale,94,21.96,14.94,1.46988,1.35428,0.16475,3.87,18.49,Y,Y
D,2,Papaver orientale,95,18.11,10.92,1.65842,1.35428,0.16475,3.77,16.27,Y,Y
D,2,Papaver orientale,96,19.41,15.57,1.24663,1.35428,0.16475,4.6,18.23,Y,Y
D,2,Papaver orientale,97,23.67,18.44,1.28362,1.35428,0.16475,4.25,19.23,Y,Y
D,2,Papaver orientale,98,18.21,14.36,1.26811,1.35428,0.16475,5.3,17.84,Y,Y
D,2,Papaver orientale,99,18.18,12.24,1.48529,1.35428,0.16475,3.45,16.22,Y,Y
D,2,Papaver orientale,100,16.90,13.60,1.24265,1.35428,0.16475,3.88,16.71,Y,Y
D,2,Papaver orientale,101,20.29,17.20,1.17965,1.35428,0.16475,4.5,20.16,Y,Y
D,3,Papaver dubium,102,15.44,5.93,2.60371,2.76036,0.27827,1.17,6,Y,Y
D,3,Papaver dubium,103,20.16,6.86,2.93878,2.76036,0.27827,1.39,6.97,Y,Y
D,3,Papaver dubium,104,18.78,6.74,2.78635,2.76036,0.27827,1.36,6.58,Y,Y
D,3,Papaver dubium,105,21.83,9.80,2.22755,2.76036,0.27827,1.96,8.49,Y,Y
D,3,Papaver dubium,106,21.32,7.17,2.97350,2.76036,0.27827,1.48,6.17,Y,Y
D,3,Papaver dubium,107,19.76,6.50,3.04000,2.76036,0.27827,1.37,7.07,Y,Y
D,3,Papaver dubium,108,15.80,5.74,2.75261,2.76036,0.27827,1.12,5.99,Y,Y
D,4,Papaver rhoeas,109,12.01,7.62,1.57612,1.46413,0.15599,1.02,7.15,Y,N
D,4,Papaver rhoeas,110,12.57,9.47,1.32735,1.46413,0.15599,1.56,10.65,Y,N
D,4,Papaver rhoeas,111,11.85,8.46,1.40071,1.46413,0.15599,1.52,8.81,Y,N
D,4,Papaver rhoeas,112,11.72,9.01,1.30078,1.46413,0.15599,1.68,9.25,Y,N
D,4,Papaver rhoeas,113,17.10,9.97,1.71515,1.46413,0.15599,2.05,10.2,Y,N
D,4,Papaver rhoeas,114,12.63,9.61,1.31426,1.46413,0.15599,1.52,9.55,Y,N
D,4,Papaver rhoeas,115,14.21,9.18,1.54793,1.46413,0.15599,2.01,9.72,Y,N
D,4,Papaver rhoeas,116,13.43,9.53,1.40923,1.46413,0.15599,1.67,9.34,Y,N
D,4,Papaver rhoeas,117,11.96,8.74,1.36842,1.46413,0.15599,1.49,9.32,Y,N
D,4,Papaver rhoeas,118,12.13,8.91,1.36139,1.46413,0.15599,1.91,8.56,Y,N
D,4,Papaver rhoeas,119,13.62,7.72,1.76425,1.46413,0.15599,1.56,9.35,Y,N
D,4,Papaver rhoeas,120,11.62,7.83,1.48404,1.46413,0.15599,1.7,9.57,Y,N
E,1,Papaver somniferum,121,17.97,13.28,1.35316,1.39725,0.06532,1.8,12.86,N,N
E,1,Papaver somniferum,122,19.39,13.17,1.47229,1.39725,0.06532,1.99,11.95,N,N
E,1,Papaver somniferum,123,18.24,13.35,1.36629,1.39725,0.06532,2.17,12.02,N,N
E,2,Papaver orientale,124,18.69,15.98,1.16959,1.35329,0.13902,4.39,18.05,Y,Y
E,2,Papaver orientale,125,17.57,11.64,1.50945,1.35329,0.13902,4.23,16.26,Y,Y
E,2,Papaver orientale,126,16.74,11.97,1.39850,1.35329,0.13902,3.11,16.35,Y,Y
E,2,Papaver orientale,127,19.22,14.99,1.28219,1.35329,0.13902,3.89,17.62,Y,Y
E,2,Papaver orientale,128,20.76,14.80,1.40270,1.35329,0.13902,3.3,16.66,Y,Y
E,2,Papaver orientale,129,18.57,15.06,1.23307,1.35329,0.13902,4.35,17.34,Y,Y
E,2,Papaver orientale,130,16.46,10.51,1.56613,1.35329,0.13902,3.44,14.5,Y,Y
E,2,Papaver orientale,131,16.58,13.11,1.26468,1.35329,0.13902,3.56,16.62,Y,Y
E,3,Papaver dubium,132,18.59,6.72,2.76637,2.82404,0.43493,1.47,6.81,Y,Y
E,3,Papaver dubium,133,26.19,8.04,3.25746,2.82404,0.43493,1.51,7.55,Y,Y
E,3,Papaver dubium,134,19.91,7.20,2.76528,2.82404,0.43493,1.41,6.92,Y,Y
E,3,Papaver dubium,135,20.98,7.20,2.91389,2.82404,0.43493,1.49,6.98,Y,Y
E,3,Papaver dubium,136,25.51,8.53,2.99062,2.82404,0.43493,1.75,8.03,Y,Y
E,3,Papaver dubium,137,20.00,6.88,2.90698,2.82404,0.43493,1.42,7.15,Y,Y
E,3,Papaver dubium,138,25.50,8.08,3.15594,2.82404,0.43493,1.66,7.29,Y,Y
E,3,Papaver dubium,139,15.09,8.22,1.83577,2.82404,0.43493,1.6,7.51,Y,Y
E,4,Papaver rhoeas,140,12.19,9.44,1.29131,1.50509,0.26474,1.6,9.87,Y,N
E,4,Papaver rhoeas,141,11.46,8.59,1.33411,1.50509,0.26474,1.63,7.56,Y,N
E,4,Papaver rhoeas,142,15.54,9.88,1.57287,1.50509,0.26474,1.81,11.36,Y,N
E,4,Papaver rhoeas,143,13.74,9.24,1.48701,1.50509,0.26474,1.83,10.48,Y,N
E,4,Papaver rhoeas,144,13.29,9.15,1.45246,1.50509,0.26474,1.61,9.21,Y,N
E,4,Papaver rhoeas,145,14.13,11.35,1.24493,1.50509,0.26474,1.91,9.89,Y,N
E,4,Papaver rhoeas,146,14.28,10.26,1.39181,1.50509,0.26474,2.48,8.9,Y,N
E,4,Papaver rhoeas,147,11.64,9.40,1.23830,1.50509,0.26474,1.07,9.22,Y,N
E,4,Papaver rhoeas,148,15.55,7.74,2.00904,1.50509,0.26474,1.67,10.06,Y,N
E,4,Papaver rhoeas,149,15.63,7.97,1.96110,1.50509,0.26474,1.65,9.83,Y,N
E,4,Papaver rhoeas,150,11.20,7.12,1.57303,1.50509,0.26474,1.47,8.68,Y,N
